"Title","Distributor","Director","Genre","Website"
"A Dark Truth","Magnolia Pictures"," Damian Lee","Action","ComingSoon.net"
"Table No. 21","Eros International"," Aditya Datt ","Thriller","BoxOfficeMojo.com"
"Texas Chainsaw 3D","Lions Gate Entertainment|Lionsgate"," John Luessenhop","Horror","ComingSoon.net"
"The Grandmaster "," Block 2 Pictures / Jet Tone Films "," Wong Kar-wai","Action","Berlinale.de"
"A Haunted House ","Open Road Films"," Michael Tiddes ","Comedy","ComingSoon.net"
"Gangster Squad","Warner Bros."," Ruben Fleischer","Action","ComingSoon.net"
"Matru Ki Bijlee Ka Mandola","Fox Star Studios"," Vishal Bhardwaj","Romantic","BoxOfficeMojo.com"
"Struck by Lightning "," Tribeca Film "," Brian Dannelly","Comedy","ComingSoon.net"
"Hansel and Gretel: Witch Hunters","Paramount Pictures/Metro-Goldwyn-Mayer|MGM"," Tommy Wirkola","Action","hanselandgretelmovie.com"
"Broken City ","20th Century Fox"," Hughes brothers","Crime","ComingSoon.net"
"LUV "," Indomina Media "," Sheldon Candis","Drama","BoxOfficeMojo.com"
"Mama ","Universal Studios|Universal Pictures"," Andres Muschietti","Horror","ComingSoon.net"
"Officer Down","Anchor Bay Films"," Brian A Miller ","Action","BoxOfficerMojo.com"
"The Last Stand ","Lions Gate Entertainment|Lionsgate"," Kim Ji-woon","Action","ComingSoon.net"
"John Dies at the End ","Magnolia Pictures"," Don Coscarelli","Comedy","boxofficemojo.com"
"Knife Fight","IFC Films"," Bill Guttentag","Political","boxofficemojo.com"
"Movie 43","Relativity Media"," Patrik Forsberg","Comedy","ComingSoon.net"
"Parker ","FilmDistrict"," Taylor Hackford","Crime","ComingSoon.net"
"Race 2","Tips Music Films"," Abbas-Mustan","Action","BoxOfficeMojo.com"
"Television "," Chabial "," Mostofa Sarwar Farooki","Drama","imdb.com"
"Bullet to the Head","Warner Bros."," Walter Hill","Crime","ComingSoon.net"
"Sound City "," Therapy Studios "," Dave Grohl","Documentary","BoxOfficeMojo.com"
"Stand Up Guys","Lions Gate Entertainment|Lionsgate"," Fisher Stevens","Crime","ComingSoon.net"
